Date,Time,Software,Action,Version,ID,Denial Message
not_provided,13:49:23,(ARCGIS),IN:,"ARC/INFO",mpatel1@SGH227R9P6,
not_provided,13:49:23,(ARCGIS),IN:,"VBA",mpatel1@SGH227R9P6,
not_provided,13:49:28,(ARCGIS),OUT:,"ARC/INFO",mpatel1@SGH227R9P6,
not_provided,13:49:28,(ARCGIS),OUT:,"VBA",mpatel1@SGH227R9P6,
not_provided,13:49:29,(ARCGIS),UNSUPPORTED:,"Tracking",mpatel1@SGH227R9P6,License server system does not support this feature. ,
not_provided,13:59:07,(ARCGIS),IN:,"ARC/INFO",mcuevas@SGH227R9P8,
not_provided,14:00:28,(ARCGIS),OUT:,"Editor",rzhang@SGH227R9P3,
not_provided,14:00:29,(ARCGIS),OUT:,"VBA",rzhang@SGH227R9P3,
not_provided,14:00:29,(ARCGIS),UNSUPPORTED:,"Tracking",rzhang@SGH227R9P3,License server system does not support this feature. ,
not_provided,14:01:12,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,14:01:17,(ARCGIS),OUT:,"VBA",rvrooyen@SGH227R9PD,
not_provided,14:01:25,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,14:01:29,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,14:01:29,(ARCGIS),OUT:,"VBA",rvrooyen@SGH227R9PD,
not_provided,14:01:30,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,14:01:30,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,14:01:30,(ARCGIS),OUT:,"VBA",rvrooyen@SGH227R9PD,
not_provided,14:01:31,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,14:01:39,(ARCGIS),IN:,"VBA",rvrooyen@SGH227R9PD,
not_provided,14:01:39,(ARCGIS),IN:,"Editor",rvrooyen@SGH227R9PD,
not_provided,14:01:41,(ARCGIS),IN:,"VBA",rvrooyen@SGH227R9PD,
not_provided,14:01:41,(ARCGIS),IN:,"Editor",rvrooyen@SGH227R9PD,
